num         YYYYYYYYYYYYY         ZZZZZZZZZZZZZ         XXXXXXXXXXXXX         B z smoothed
  1              .0000000              .0000000          -100.0000000          8.243137e-07
  2              .0000000              .0000000           -99.0000000          9.055809e-07
  3              .0000000              .0000000           -98.0000000          9.868062e-07
  4              .0000000              .0000000           -97.0000000          1.066958e-06
  5              .0000000              .0000000           -96.0000000          1.147111e-06
  6              .0000000              .0000000           -95.0000000          1.227263e-06
  7              .0000000              .0000000           -94.0000000          1.301183e-06
  8              .0000000              .0000000           -93.0000000          1.363729e-06
  9              .0000000              .0000000           -92.0000000          1.426369e-06
 10              .0000000              .0000000           -91.0000000          1.489250e-06
 11              .0000000              .0000000           -90.0000000          1.528997e-06
 12              .0000000              .0000000           -89.0000000          1.546942e-06
 13              .0000000              .0000000           -88.0000000          1.564887e-06
 14              .0000000              .0000000           -87.0000000              .1058210
 15              .0000000              .0000000           -86.0000000              .1058218
 16              .0000000              .0000000           -85.0000000              .1058225
 17              .0000000              .0000000           -84.0000000              .1058232
 18              .0000000              .0000000           -83.0000000              .1058256
 19              .0000000              .0000000           -82.0000000              .1058284
 20              .0000000              .0000000           -81.0000000              .1058313
 21              .0000000              .0000000           -80.0000000              .1058342
 22              .0000000              .0000000           -79.0000000              .1058377
 23              .0000000              .0000000           -78.0000000              .1058412
 24              .0000000              .0000000           -77.0000000              .1058447
 25              .0000000              .0000000           -76.0000000              .1058482
 26              .0000000              .0000000           -75.0000000              .1058519
 27              .0000000              .0000000           -74.0000000              .1058555
 28              .0000000              .0000000           -73.0000000              .1058592
 29              .0000000              .0000000           -72.0000000              .1058626
 30              .0000000              .0000000           -71.0000000              .1058660
 31              .0000000              .0000000           -70.0000000              .1058694
 32              .0000000              .0000000           -69.0000000              .1058727
 33              .0000000              .0000000           -68.0000000              .1058756
 34              .0000000              .0000000           -67.0000000              .1058784
 35              .0000000              .0000000           -66.0000000              .1058813
 36              .0000000              .0000000           -65.0000000              .1058839
 37              .0000000              .0000000           -64.0000000              .1058862
 38              .0000000              .0000000           -63.0000000              .1058885
 39              .0000000              .0000000           -62.0000000              .1058908
 40              .0000000              .0000000           -61.0000000              .1058927
 41              .0000000              .0000000           -60.0000000              .1058944
 42              .0000000              .0000000           -59.0000000              .1058962
 43              .0000000              .0000000           -58.0000000              .1058978
 44              .0000000              .0000000           -57.0000000              .1058991
 45              .0000000              .0000000           -56.0000000              .1059003
 46              .0000000              .0000000           -55.0000000              .1059016
 47              .0000000              .0000000           -54.0000000              .1059026
 48              .0000000              .0000000           -53.0000000              .1059034
 49              .0000000              .0000000           -52.0000000              .1059042
 50              .0000000              .0000000           -51.0000000              .1059050
 51              .0000000              .0000000           -50.0000000              .1059055
 52              .0000000              .0000000           -49.0000000              .1059059
 53              .0000000              .0000000           -48.0000000              .1059064
 54              .0000000              .0000000           -47.0000000              .1059067
 55              .0000000              .0000000           -46.0000000              .1059067
 56              .0000000              .0000000           -45.0000000              .1059068
 57              .0000000              .0000000           -44.0000000              .1059068
 58              .0000000              .0000000           -43.0000000              .1059067
 59              .0000000              .0000000           -42.0000000              .1059063
 60              .0000000              .0000000           -41.0000000              .1059060
 61              .0000000              .0000000           -40.0000000              .1059057
 62              .0000000              .0000000           -39.0000000              .1059050
 63              .0000000              .0000000           -38.0000000              .1059043
 64              .0000000              .0000000           -37.0000000              .1059036
 65              .0000000              .0000000           -36.0000000              .1059028
 66              .0000000              .0000000           -35.0000000              .1059017
 67              .0000000              .0000000           -34.0000000              .1059006
 68              .0000000              .0000000           -33.0000000              .1058994
 69              .0000000              .0000000           -32.0000000              .1058980
 70              .0000000              .0000000           -31.0000000              .1058964
 71              .0000000              .0000000           -30.0000000              .1058948
 72              .0000000              .0000000           -29.0000000              .1058931
 73              .0000000              .0000000           -28.0000000              .1058910
 74              .0000000              .0000000           -27.0000000              .1058889
 75              .0000000              .0000000           -26.0000000              .1058868
 76              .0000000              .0000000           -25.0000000              .1058844
 77              .0000000              .0000000           -24.0000000              .1058817
 78              .0000000              .0000000           -23.0000000              .1058791
 79              .0000000              .0000000           -22.0000000              .1058764
 80              .0000000              .0000000           -21.0000000              .1058733
 81              .0000000              .0000000           -20.0000000              .1058701
 82              .0000000              .0000000           -19.0000000              .1058669
 83              .0000000              .0000000           -18.0000000              .1058636
 84              .0000000              .0000000           -17.0000000              .1058601
 85              .0000000              .0000000           -16.0000000              .1058565
 86              .0000000              .0000000           -15.0000000              .1058530
 87              .0000000              .0000000           -14.0000000              .1058494
 88              .0000000              .0000000           -13.0000000              .1058459
 89              .0000000              .0000000           -12.0000000              .1058424
 90              .0000000              .0000000           -11.0000000              .1058389
 91              .0000000              .0000000           -10.0000000              .1058356
 92              .0000000              .0000000            -9.0000000              .1058324
 93              .0000000              .0000000            -8.0000000              .1058291
 94              .0000000              .0000000            -7.0000000              .1058262
