NNNNNNNNN         ZZZZZZZZZ         YYYYYYYYYYY         XXXXXXXXXXXXX         Bzsmoothed
 98              .0000000              .0000000             2.0000000              .1048509
 99              .0000000              .0000000             3.0000000              .1048516
100              .0000000              .0000000             4.0000000              .1048521
101              .0000000              .0000000             5.0000000              .1048541
102              .0000000              .0000000             6.0000000              .1048562
103              .0000000              .0000000             7.0000000              .1048590
104              .0000000              .0000000             8.0000000              .1048622
105              .0000000              .0000000             9.0000000              .1048658
106              .0000000              .0000000            10.0000000              .1048699
107              .0000000              .0000000            11.0000000              .1048741
108              .0000000              .0000000            12.0000000              .1048787
109              .0000000              .0000000            13.0000000              .1048833
110              .0000000              .0000000            14.0000000              .1048881
111              .0000000              .0000000            15.0000000              .1048929
112              .0000000              .0000000            16.0000000              .1048978
113              .0000000              .0000000            17.0000000              .1049026
114              .0000000              .0000000            18.0000000              .1049072
115              .0000000              .0000000            19.0000000              .1049118
116              .0000000              .0000000            20.0000000              .1049162
117              .0000000              .0000000            21.0000000              .1049205
118              .0000000              .0000000            22.0000000              .1049246
119              .0000000              .0000000            23.0000000              .1049285
120              .0000000              .0000000            24.0000000              .1049322
121              .0000000              .0000000            25.0000000              .1049357
122              .0000000              .0000000            26.0000000              .1049390
123              .0000000              .0000000            27.0000000              .1049421
124              .0000000              .0000000            28.0000000              .1049450
125              .0000000              .0000000            29.0000000              .1049476
126              .0000000              .0000000            30.0000000              .1049502
127              .0000000              .0000000            31.0000000              .1049524
128              .0000000              .0000000            32.0000000              .1049546
129              .0000000              .0000000            33.0000000              .1049565
130              .0000000              .0000000            34.0000000              .1049583
131              .0000000              .0000000            35.0000000              .1049598
132              .0000000              .0000000            36.0000000              .1049613
133              .0000000              .0000000            37.0000000              .1049625
134              .0000000              .0000000            38.0000000              .1049637
135              .0000000              .0000000            39.0000000              .1049646
136              .0000000              .0000000            40.0000000              .1049655
137              .0000000              .0000000            41.0000000              .1049662
138              .0000000              .0000000            42.0000000              .1049667
139              .0000000              .0000000            43.0000000              .1049672
140              .0000000              .0000000            44.0000000              .1049675
141              .0000000              .0000000            45.0000000              .1049677
142              .0000000              .0000000            46.0000000              .1049677
143              .0000000              .0000000            47.0000000              .1049677
144              .0000000              .0000000            48.0000000              .1049675
145              .0000000              .0000000            49.0000000              .1049672
146              .0000000              .0000000            50.0000000              .1049667
147              .0000000              .0000000            51.0000000              .1049662
148              .0000000              .0000000            52.0000000              .1049654
149              .0000000              .0000000            53.0000000              .1049646
150              .0000000              .0000000            54.0000000              .1049636
151              .0000000              .0000000            55.0000000              .1049625
152              .0000000              .0000000            56.0000000              .1049612
153              .0000000              .0000000            57.0000000              .1049598
154              .0000000              .0000000            58.0000000              .1049582
155              .0000000              .0000000            59.0000000              .1049564
156              .0000000              .0000000            60.0000000              .1049545
157              .0000000              .0000000            61.0000000              .1049523
158              .0000000              .0000000            62.0000000              .1049501
159              .0000000              .0000000            63.0000000              .1049475
160              .0000000              .0000000            64.0000000              .1049449
161              .0000000              .0000000            65.0000000              .1049419
162              .0000000              .0000000            66.0000000              .1049389
163              .0000000              .0000000            67.0000000              .1049355
164              .0000000              .0000000            68.0000000              .1049321
165              .0000000              .0000000            69.0000000              .1049283
166              .0000000              .0000000            70.0000000              .1049244
167              .0000000              .0000000            71.0000000              .1049203
168              .0000000              .0000000            72.0000000              .1049160
169              .0000000              .0000000            73.0000000              .1049115
170              .0000000              .0000000            74.0000000              .1049069
171              .0000000              .0000000            75.0000000              .1049022
172              .0000000              .0000000            76.0000000              .1048973
173              .0000000              .0000000            77.0000000              .1048925
174              .0000000              .0000000            78.0000000              .1048876
175              .0000000              .0000000            79.0000000              .1048827
176              .0000000              .0000000            80.0000000              .1048780
177              .0000000              .0000000            81.0000000              .1048733
178              .0000000              .0000000            82.0000000              .1048690
179              .0000000              .0000000            83.0000000              .1048648
180              .0000000              .0000000            84.0000000              .1048612
181              .0000000              .0000000            85.0000000              .1048578
182              .0000000              .0000000            86.0000000              .1048548
